product_name,description,product_category_tree
alisha solid womens cycling shorts,key features of alisha solid womens cycling shorts cotton lycra navy red navyspecifications of alisha solid womens cycling shorts shorts details number of contents in sales package pack of 3 fabric cotton lycra type cycling shorts general details pattern solid ideal for womens fabric care gentle machine wash in lukewarm water do not bleach additional details style code altht3p21 in the box 3 shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]"
fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed finish color leatherette black mechanism type pull out price rs 22646 fine deep seating experience save space with the all new click clack sofa bed easy to fold and vice versa with simple click clack mechanism chrome legs with mango wood frame for long term durability double cushioned sofa bed to provide you with extra softness to make a fine seating experience a double bed that can easily sleep twospecifications of fabhomedecor fabric double sofa bed finish color leatherette black mechanism type pull out installation demo installation demo details installation and demo for this product is done free of cost as part of this purchase our service partner will visit your location within 72 business hours from the delivery of the product in the box 1 sofa bed general brand fabhomedecor mattress included no delivery condition knock down storage included no mechanism type pull out type sofa bed style contemporary modern filling material microfiber seating capacity 3 seater upholstery type na upholstery included no bed size double shape square suitable for living room model number fhd112 care instructions avoid outdoor use and exposure to water or prolonged moisture avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade keep sharp objects away from your sofa a little tear on the fabric cover may be hard to repair vacuum your sofas periodically with a soft bristled bruview more avoid outdoor use and exposure to water or prolonged moisture avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade keep sharp objects away from your sofa a little tear on the fabric cover may be hard to repair vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres try to avoid food and drink spillage of any kind if spills occur do not leave unattended in case of a stain a waterfree fabric cleaner can be used however avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth a professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay getting your sofa professionally cleaned once every 68 months will not only take care of the nooks and corners that you cant reach it will also make it more durable finish type matte important note cancellation not allowed for this product after 24 hrs of order booking warranty covered in warranty warranty covers all kind of manufacturing defects concerned product will either be repaired or replaced based on discretion service type manufacturer warranty warranty summary 6 months domestic warranty not covered in warranty warranty does not cover for improper handling dimensions weight 40 kg height 838 mm width 1905 mm depth 939 mm disclaimer the color of the product may vary slightly compared to the picture displayed on your screen this is due to lighting pixel quality and color settings please check the products dimensions to ensure the product will fit in the desired location also check if the product will fit throughview more the color of the product may vary slightly compared to the picture displayed on your screen this is due to lighting pixel quality and color settings please check the products dimensions to ensure the product will fit in the desired location also check if the product will fit through the entrances and doors of the premises please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels flipkart or the seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product the product will only be assembled in case carpentry assembly is required in case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles material color upholstery color leatherette black primary color black primary material fabric secondary material subtype mango wood secondary material foam finish color leatherette black primary material subtype foam,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]"
aw bellies,key features of aw bellies sandals wedges heel casualsaw bellies price rs 499 material synthetic lifestyle casual heel type wedge warranty type manufacturer product warranty against manufacturing defects 30 days care instructions allow your pair of shoes to air and deodorize at regular basis use shoe bags to prevent any stains or mildew dust any dry dirt from the surface using a clean cloth do not use polish or shinerspecifications of aw bellies general ideal for women occasion casual shoe details color red outer material patent leather heel height 1 inch number of contents in sales package pack of 1 in the box one pair of shoes,"[""Footwear >> Women's Footwear >> Ballerinas >> AW Bellies""]"
alisha solid womens cycling shorts,key features of alisha solid womens cycling shorts cotton lycra black redspecifications of alisha solid womens cycling shorts shorts details number of contents in sales package pack of 2 fabric cotton lycra type cycling shorts general details pattern solid ideal for womens fabric care gentle machine wash in lukewarm water do not bleach additional details style code altght11 in the box 2 shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]"
sicons all purpose arnica dog shampoo,specifications of sicons all purpose arnica dog shampoo 500 ml general pet type dog brand sicons quantity 500 ml model number shdf14 type all purpose fragrance arnica form factor liquid in the box sales package shampoo sicons dog fashion arnica,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Arnica Dog Shampoo (500 ml)""]"
eternal gandhi super series crystal paper weights with silver finish,key features of eternal gandhi super series crystal paper weights with silver finish crystal paper weight product dimensions 8cm x 8cm x 5cm a beautiful product material crystaleternal gandhi super series crystal paper weights with silver finish set of 1 clear price rs 430 your office desk will sparkle and shine when you accent tables with this elegant crystal paper weight the multifaceted crystal features gandhijis bust and his timeless message my life is my message mk gandhi a beautiful product to gift to your near and dear ones in family and businessspecifications of eternal gandhi super series crystal paper weights with silver finish set of 1 clear general model name gandhi paper weight mark v dimensions weight 323 g in the box paper weight paper weight features paper weight material crystal paper weight finish silver finish,"[""Eternal Gandhi Super Series Crystal Paper Weight...""]"
alisha solid womens cycling shorts,key features of alisha solid womens cycling shorts cotton lycra navy red white redspecifications of alisha solid womens cycling shorts shorts details number of contents in sales package pack of 4 fabric cotton lycra type cycling shorts general details pattern solid ideal for womens in the box 4 shorts additional details style code altght4p26 fabric care gentle machine wash in lukewarm water do not bleach,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]"
fabhomedecor fabric double sofa bed,fabhomedecor fabric double sofa bed finish color brown mechanism type pull out price rs 22646 fine deep seating experience save space with the all new click clack sofa bed easy to fold and vice versa with simple click clack mechanism chrome legs with mango wood frame for long term durability double cushioned sofa bed to provide you with extra softness to make a fine seating experience a double bed that can easily sleep twospecifications of fabhomedecor fabric double sofa bed finish color brown mechanism type pull out installation demo installation demo details installation and demo for this product is done free of cost as part of this purchase our service partner will visit your location within 72 business hours from the delivery of the product in the box 1 sofa bed general brand fabhomedecor mattress included no delivery condition knock down storage included no mechanism type pull out type sofa bed style contemporary modern filling material microfiber seating capacity 3 seater upholstery type na upholstery included no bed size double shape square suitable for living room model number fhd107 care instructions avoid outdoor use and exposure to water or prolonged moisture avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade keep sharp objects away from your sofa a little tear on the fabric cover may be hard to repair vacuum your sofas periodically with a soft bristled bruview more avoid outdoor use and exposure to water or prolonged moisture avoid exposure to direct heat or sunlight as this can cause the sofa colour to fade keep sharp objects away from your sofa a little tear on the fabric cover may be hard to repair vacuum your sofas periodically with a soft bristled brush attachment or lightly brush them to keep general dirt and dust off the sofa and prevent any embedding between the fibres try to avoid food and drink spillage of any kind if spills occur do not leave unattended in case of a stain a waterfree fabric cleaner can be used however avoid applying the cleaner directly on the stain as this can cause damage to the fabric and fade colour pour the cleaner onto a clean cloth and test its effect on a hidden area of the sofa before cleaning the stain with the cloth a professional scotchguard treatment is one of the easiest and most effective options to protect against spills or stains and keep pet hair at bay getting your sofa professionally cleaned once every 68 months will not only take care of the nooks and corners that you cant reach it will also make it more durable finish type matte important note cancellation not allowed for this product after 24 hrs of order booking warranty covered in warranty warranty covers all kind of manufacturing defects concerned product will either be repaired or replaced based on discretion service type manufacturer warranty warranty summary 6 months domestic warranty not covered in warranty warranty does not cover for improper handling dimensions weight 40 kg height 838 mm width 1905 mm depth 939 mm disclaimer the color of the product may vary slightly compared to the picture displayed on your screen this is due to lighting pixel quality and color settings please check the products dimensions to ensure the product will fit in the desired location also check if the product will fit throughview more the color of the product may vary slightly compared to the picture displayed on your screen this is due to lighting pixel quality and color settings please check the products dimensions to ensure the product will fit in the desired location also check if the product will fit through the entrances and doors of the premises please expect an unevenness of up to 5 mm in the product due to differences in surfaces and floor levels flipkart or the seller delivering the product will not take up any type of civil work such as drilling holes in the wall to mount the product the product will only be assembled in case carpentry assembly is required in case the product appears to lack shine wiping the surface with a cloth will help clear the surface of dust particles material color upholstery color brown primary color brown primary material fabric secondary material subtype mango wood secondary material foam finish color brown primary material subtype foam,"[""Furniture >> Living Room Furniture >> Sofa Beds & Futons >> FabHomeDecor Fabric Double Sofa Bed (Finish Colo...""]"
dilli bazaaar bellies corporate casuals casuals,key features of dilli bazaaar bellies corporate casuals casuals material fabric occasion ethnic casual party formal color pink heel height 0specifications of dilli bazaaar bellies corporate casuals casuals general occasion ethnic casual party formal ideal for women shoe details weight 200 g per single shoe weight of the product may vary depending on size heel height 0 inch outer material fabric color pink,"[""Footwear >> Women's Footwear >> Ballerinas >> dilli bazaaar Bellies, Corporate Casuals, Casuals""]"
alisha solid womens cycling shorts,key features of alisha solid womens cycling shorts cotton lycra white black red blackspecifications of alisha solid womens cycling shorts shorts details number of contents in sales package pack of 4 fabric cotton lycra type cycling shorts general details pattern solid ideal for womens fabric care gentle machine wash in lukewarm water do not bleach additional details style code altght4p39 in the box 4 shorts,"[""Clothing >> Women's Clothing >> Lingerie, Sleep & Swimwear >> Shorts >> Alisha Shorts >> Alisha Solid Women's Cycling Shorts""]"
ladela bellies,key features of ladela bellies brand ladela color blackladela bellies price rs 950 experience the best bellies from the house of ladela providing the best material to keep your feet cozy and active for the whole dayspecifications of ladela bellies general occasion casual ideal for women shoe details heel height 0 inch outer material pu color black,"[""Footwear >> Women's Footwear >> Ballerinas >> Ladela Bellies""]"
carrel printed womens,key features of carrel printed womens fabric swimlycra brand color black whitecarrel printed womens price rs 910 maxcoverage swimwear collection from carrel brand brighten up your swim routine with this best fitting this swimming costume from the house of carrel is made of imported swim lycra fabric and comes in black white colour it has to be washed separately and dry in shade attractive classy caressing the water this swimwear provides excellent protection and chlorine resistance fast drying combined with flatlock stitching gives an unmatched comfort and helps you to that performance you have been striving for this swimwear with its comfort and style is your perfect companion at any pool beach or water activity time for you to do your own thing and go with the flow this swimwear lightly padded for modesty and support this product support to this size l xl xxl 3xl4xlspecifications of carrel printed womens top details neck round neck swimsuit details fabric swimlycra type swimdress general details pattern printed ideal for womens occasion sports fabric care wash with similar colors use detergent for colors in the box 1 swimware,"[""Clothing >> Women's Clothing >> Sports & Gym Wear >> Swimsuits >> Carrel Swimsuits >> Carrel Printed Women's""]"
sicons all purpose tea tree dog shampoo,specifications of sicons all purpose tea tree dog shampoo 200 ml general pet type dog brand sicons quantity 200 ml model number shdf07 type all purpose fragrance tea tree form factor spray in the box sales package shampoo sicons dog fashion dry bath urban pet,"[""Pet Supplies >> Grooming >> Skin & Coat Care >> Shampoo >> Sicons All Purpose Tea Tree Dog Shampoo (200 ml)""]"
